Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY040007,"Beaver County, OK",40007,27.73089035,32.17338791,26.09002722,26.99421764,23.09073311,24.0468325,20.12991539,22.34102442
RACEDISPARITY030001,"Beaverhead County, MT",30001,44.19384144,43.7854184,35.55211019,9.828027312,16.12307341,23.63651535,17.42126784,14.33622974
RACEDISPARITY027005,"Becker County, MN",27005,26.90351243,26.39725726,34.91237905,33.48658568,31.54971616,33.96058111,30.37963682,27.64424693
RACEDISPARITY040009,"Beckham County, OK",40009,6.325563431,16.56151514,27.06737497,25.18195233,27.53731185,25.17621869,23.35738634,17.05350157
RACEDISPARITY051019,"Bedford County, VA",51019,28.87303529,21.26700074,17.9256982,15.50658661,19.488952,26.35845569,25.29949499,24.76205412
RACEDISPARITY047003,"Bedford County, TN",47003,45.9556936,45.4244202,41.45396645,40.93314079,39.76907807,40.03294316,33.9272206,39.19548904
RACEDISPARITY051515,"Bedford City, VA",51515,0,0,0,0,0,,,
RACEDISPARITY042009,"Bedford County, PA",42009,28.49043682,23.52720021,35.25661853,34.17989661,26.82861452,24.60935095,25.04667951,25.86534068
RACEDISPARITY048025,"Bee County, TX",48025,10.87000569,22.76910492,21.58350485,22.69503909,22.94479674,25.44519212,26.64115088,18.93569798
RACEDISPARITY033001,"Belknap County, NH",33001,25.49458855,21.39828622,26.25093404,26.11802288,27.20296359,28.24807674,20.56163343,18.24919487
RACEDISPARITY048027,"Bell County, TX",48027,32.18292145,32.71826709,31.9008407,31.90068976,32.22102039,31.44697473,31.92225298,31.83380369
RACEDISPARITY021013,"Bell County, KY",21013,39.30402927,32.26859333,30.08930536,33.84352643,32.08618357,42.12511182,44.5476991,44.89596801
RACEDISPARITY039013,"Belmont County, OH",39013,54.01522939,55.03916429,50.41286431,50.77585563,44.83251749,45.60996646,46.14069128,47.10001376
RACEDISPARITY027007,"Beltrami County, MN",27007,23.47699467,26.36491778,27.6165725,30.82956463,30.10251158,37.12972232,34.08090667,31.57118853
RACEDISPARITY013017,"Ben Hill County, GA",13017,17.15666918,16.78639685,15.19712745,23.37800404,21.11591749,23.01300918,27.76218936,26.49458144
RACEDISPARITY016009,"Benewah County, ID",16009,7.013546263,12.03054278,9.439352932,17.39062598,6.010003848,35.38778212,32.37404293,21.79600097
RACEDISPARITY046007,"Bennett County, SD",46007,48.3366909,17.11393007,18.71593634,42.59360013,39.443639,33.31495739,7.334716475,7.542593539
RACEDISPARITY050003,"Bennington County, VT",50003,31.42121136,25.44596863,29.88468723,27.92427727,29.02017016,26.07950023,28.32651652,29.76293829
RACEDISPARITY038005,"Benson County, ND",38005,62.4969235,59.55722979,61.02069721,61.90496723,64.94887733,63.5562416,66.13990984,61.87182496
RACEDISPARITY008011,"Bent County, CO",8011,0,0,0,0,0,0,0,
RACEDISPARITY028009,"Benton County, MS",28009,32.2306842,35.24759514,35.37042613,37.43331169,31.04843236,31.37817524,27.81843107,25.21361922
RACEDISPARITY005007,"Benton County, AR",5007,33.60301196,36.29680429,36.59936881,35.99552013,34.8582726,37.62207384,37.52266878,37.711519
RACEDISPARITY018007,"Benton County, IN",18007,56.64931275,56.83043189,44.34388033,37.71733188,35.92638576,32.76452538,27.56267369,27.5068837
RACEDISPARITY041003,"Benton County, OR",41003,25.47571576,23.69088147,23.23221449,22.23246921,23.40290042,21.50249759,21.24339373,21.5708842
RACEDISPARITY047005,"Benton County, TN",47005,58.37492809,49.57377113,45.09268958,44.70319528,24.18745918,25.69372795,26.57685405,27.08178633
RACEDISPARITY053005,"Benton County, WA",53005,29.65068308,31.17974404,32.16733976,31.1955084,31.70890985,31.0884035,30.606833,31.38059966
RACEDISPARITY027009,"Benton County, MN",27009,45.52279612,43.8640024,41.32567813,37.47956887,32.20452513,26.10054954,27.04090554,32.13962649
RACEDISPARITY019011,"Benton County, IA",19011,49.99947304,35.33331289,34.75446509,32.87945696,23.55875323,28.10424562,29.55891118,19.45760917
RACEDISPARITY029015,"Benton County, MO",29015,70.95065819,45.68359927,34.51566449,21.32277827,19.87324673,23.44966535,30.82176063,29.9611317
RACEDISPARITY026019,"Benzie County, MI",26019,36.80815305,18.77925536,6.682666028,7.752686068,19.48185155,19.71137971,19.27418665,22.92077015
RACEDISPARITY034003,"Bergen County, NJ",34003,36.13877783,36.56465055,35.85649805,36.36223085,36.70302164,35.85602629,35.82174362,35.44302877
RACEDISPARITY054003,"Berkeley County, WV",54003,28.68329711,25.07897978,23.43985812,20.03733993,18.97922895,17.18427387,16.73762765,17.81618686
RACEDISPARITY045015,"Berkeley County, SC",45015,23.27723439,25.93466931,27.75971116,26.54067633,25.9918243,24.78753002,25.40863488,25.13069262
